model_key,display_name,mco,lookback,run_id,verdict,val_drift_pct,gap_ratio,val_trend,early_stop,best_epoch,total_epochs,notes
autoformer,AutoformerForecaster,include,14,20260530_154211,overfit,16.81,3.0277,falling,False,14,29,"Val drift +16.8% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.03× exceeds 3× (min_train=0.00201, best_val=0.00609) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +16.8% — train/val divergence detected."
autoformer,AutoformerForecaster,include,28,20260530_154813,good_fit,6.81,2.8213,falling,False,35,50,Val drift +6.8% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.82× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
autoformer,AutoformerForecaster,include,56,20260530_160104,overfit,3.89,3.3614,flat,False,80,95,"Val drift +3.9% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.36× exceeds 3× (min_train=0.00143, best_val=0.00480) — significant memorisation of training data."
autoformer_tuned,AutoformerForecaster (tuned),exclude,14,20260530_125829,overfit,17.57,2.6376,falling,False,21,36,Val drift +17.6% above best — within normal ... | Val/train gap 2.64× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
autoformer_tuned,AutoformerForecaster (tuned),exclude,28,20260530_130510,good_fit,2.77,2.0478,flat,False,62,77,Val drift +2.8% above best — within normal ... | Val/train gap 2.05× is within the 3× threshold ... | No overfitting or underfitting signals detected.
autoformer_tuned,AutoformerForecaster (tuned),exclude,56,20260530_130946,good_fit,7.64,2.68,falling,False,29,44,Val drift +7.6% above best — within normal ... | Val/train gap 2.68× is within the 3× threshold ... | No overfitting or underfitting signals detected.
autoformer_tuned,AutoformerForecaster (tuned),include,14,20260530_161632,overfit,37.35,3.651,falling,False,13,28,Val loss drifted +37.3% above its best ... | Val/train gap 3.65× exceeds ... | Training loss still declining in final 10 epochs ...
autoformer_tuned,AutoformerForecaster (tuned),include,28,20260530_162409,overfit,33.99,2.493,falling,False,28,43,Val loss drifted +34.0% above its best ... | Val/train gap 2.49× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
autoformer_tuned,AutoformerForecaster (tuned),include,56,20260530_163628,good_fit,5.55,2.6255,falling,False,34,49,Val drift +5.6% above best — within normal ... | Val/train gap 2.63× is within the 3× threshold ... | No overfitting or underfitting signals detected.
bilstm,BiLSTMForecaster,exclude,14,20260530_143740,overfit,2.06,3.4359,falling,False,33,48,"Val drift +2.1% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.44× exceeds 3× (min_train=0.00167, best_val=0.00574) — significant memorisation of training data."
bilstm,BiLSTMForecaster,exclude,28,20260530_143751,overfit,5.43,3.7433,falling,False,22,37,"Val drift +5.4% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.74× exceeds 3× (min_train=0.00173, best_val=0.00649) — significant memorisation of training data."
bilstm,BiLSTMForecaster,exclude,56,20260530_143800,overfit,9.15,4.2012,falling,False,22,37,"Val drift +9.1% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.20× exceeds 3× (min_train=0.00182, best_val=0.00764) — significant memorisation of training data."
bilstm,BiLSTMForecaster,include,14,20260530_165745,overfit,8.25,4.3057,falling,False,30,45,"Val drift +8.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.31× exceeds 3× (min_train=0.00074, best_val=0.00317) — significant memorisation of training data."
bilstm,BiLSTMForecaster,include,28,20260530_165759,overfit,8.9,4.1015,falling,False,15,30,"Val drift +8.9% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.10× exceeds 3× (min_train=0.00086, best_val=0.00352) — significant memorisation of training data."
bilstm,BiLSTMForecaster,include,56,20260530_165819,overfit,4.26,4.9684,falling,False,22,37,"Val drift +4.3% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.97× exceeds 3× (min_train=0.00072, best_val=0.00358) — significant memorisation of training data."
bilstm_tuned,BiLSTMForecaster (tuned),exclude,14,20260530_150940,overfit,28.32,4.5564,falling,False,19,34,Val loss drifted +28.3% above its best ... | Val/train gap 4.56× exceeds ... | Training loss still declining in final 10 epochs ...
